item_id,domain,year,year_type,brand,model,category,official_name,description,keywords
LAP-2023-apple-macbook-pro-14-inch-m3,laptop,2023,release,Apple,MacBook Pro 14-inch (M3),pro,Apple MacBook Pro 14-inch (M3),Laptop pro Apple avec puce M3.,"14, apple, laptop, m3, macbook, pro"
LAP-2023-apple-macbook-pro-16-inch-m3-pro-m3-max,laptop,2023,release,Apple,MacBook Pro 16-inch (M3 Pro/M3 Max),pro,Apple MacBook Pro 16-inch (M3 Pro/M3 Max),Laptop pro Apple 16 pouces avec puces M3 Pro / M3 Max.,"16, apple, m3, m3 max, m3 pro, macbook, pro"
LAP-2023-apple-macbook-air-15-inch-m2,laptop,2023,release,Apple,MacBook Air 15-inch (M2),ultrabook,Apple MacBook Air 15-inch (M2),MacBook Air 15 pouces avec puce M2.,"15, air, apple, m2, macbook"
LAP-2024-apple-macbook-air-13-inch-m3,laptop,2024,release,Apple,MacBook Air 13-inch (M3),ultrabook,Apple MacBook Air 13-inch (M3),MacBook Air 13 pouces avec puce M3.,"13, air, apple, m3, macbook"
LAP-2024-apple-macbook-air-15-inch-m3,laptop,2024,release,Apple,MacBook Air 15-inch (M3),ultrabook,Apple MacBook Air 15-inch (M3),MacBook Air 15 pouces avec puce M3.,"15, air, apple, m3, macbook"
LAP-2024-dell-xps-13-2024,laptop,2024,release,Dell,XPS 13 (2024),ultrabook,Dell XPS 13 (2024),Ultrabook Dell XPS 13 version 2024.,"13, 2024, core ultra, dell, ultrabook, xps"
LAP-2024-dell-xps-14-9440,laptop,2024,release,Dell,XPS 14 (9440),premium,Dell XPS 14 (9440),Laptop Dell XPS 14 (série 2024).,"14, 2024, 9440, dell, xps"
LAP-2024-dell-xps-16-9640,laptop,2024,release,Dell,XPS 16 (9640),premium,Dell XPS 16 (9640),Laptop Dell XPS 16 (série 2024).,"16, 2024, 9640, dell, xps"
LAP-2024-lenovo-yoga-9i-2-in-1-14-2024,laptop,2024,release,Lenovo,"Yoga 9i 2-in-1 (14, 2024)",2-in-1,"Lenovo Yoga 9i 2-in-1 (14, 2024)",PC portable Lenovo Yoga 9i convertible (CES 2024).,"2-in-1, 2024, 9i, convertible, lenovo, yoga"
LAP-2024-lenovo-yoga-pro-9i-2024,laptop,2024,release,Lenovo,Yoga Pro 9i (2024),creator,Lenovo Yoga Pro 9i (2024),Laptop Lenovo Yoga Pro 9i orienté création.,"2024, 9i, creator, lenovo, pro, yoga"
LAP-2024-lenovo-thinkpad-x1-carbon-gen-12,laptop,2024,release,Lenovo,ThinkPad X1 Carbon Gen 12,business,Lenovo ThinkPad X1 Carbon Gen 12,ThinkPad léger business (Gen 12).,"business, carbon, gen 12, lenovo, thinkpad, x1"
LAP-2024-asus-rog-zephyrus-g14-2024,laptop,2024,release,ASUS,ROG Zephyrus G14 (2024),gaming,ASUS ROG Zephyrus G14 (2024),Laptop gaming 14 pouces Zephyrus G14 (version 2024).,"2024, asus, g14, gaming, rog, zephyrus"
LAP-2024-framework-laptop-16-initial-release,laptop,2024,release,Framework,Laptop 16 (initial release),modular,Framework Laptop 16 (initial release),Laptop modulaire Framework 16 (lancement initial).,"16, 2024, framework, laptop, modular"
