query_id,query_text,item_id,intent,language
Q00001,Apple MacBook Pro 14-inch (M3),LAP-2023-apple-macbook-pro-14-inch-m3,lookup,en
Q00002,Apple MacBook Pro 14-inch (M3) 2023,LAP-2023-apple-macbook-pro-14-inch-m3,lookup,en
Q00003,MacBook Pro 14-inch (M3) Apple,LAP-2023-apple-macbook-pro-14-inch-m3,lookup,en
Q00004,prix Apple MacBook Pro 14-inch (M3),LAP-2023-apple-macbook-pro-14-inch-m3,lookup,fr
Q00005,je cherche MacBook Pro 14-inch (M3),LAP-2023-apple-macbook-pro-14-inch-m3,lookup,fr
Q00006,alternative à MacBook Pro 14-inch (M3),LAP-2023-apple-macbook-pro-14-inch-m3,compare,en
Q00007,MacBook Pro 14-inch (M3) fiche technique,LAP-2023-apple-macbook-pro-14-inch-m3,lookup,fr
Q00008,Apple MacBook Pro 14-inch (M3) specs,LAP-2023-apple-macbook-pro-14-inch-m3,lookup,en
Q00009,best price Apple MacBook Pro 14-inch (M3),LAP-2023-apple-macbook-pro-14-inch-m3,lookup,en
Q00010,compare Apple MacBook Pro 14-inch (M3),LAP-2023-apple-macbook-pro-14-inch-m3,compare,en
Q00011,Apple MacBook Pro 16-inch (M3 Pro/M3 Max),LAP-2023-apple-macbook-pro-16-inch-m3-pro-m3-max,lookup,en
Q00012,Apple MacBook Pro 16-inch (M3 Pro/M3 Max) 2023,LAP-2023-apple-macbook-pro-16-inch-m3-pro-m3-max,lookup,en
Q00013,MacBook Pro 16-inch (M3 Pro/M3 Max) Apple,LAP-2023-apple-macbook-pro-16-inch-m3-pro-m3-max,lookup,en
Q00014,prix Apple MacBook Pro 16-inch (M3 Pro/M3 Max),LAP-2023-apple-macbook-pro-16-inch-m3-pro-m3-max,lookup,fr
Q00015,je cherche MacBook Pro 16-inch (M3 Pro/M3 Max),LAP-2023-apple-macbook-pro-16-inch-m3-pro-m3-max,lookup,fr
Q00016,alternative à MacBook Pro 16-inch (M3 Pro/M3 Max),LAP-2023-apple-macbook-pro-16-inch-m3-pro-m3-max,compare,en
Q00017,MacBook Pro 16-inch (M3 Pro/M3 Max) fiche technique,LAP-2023-apple-macbook-pro-16-inch-m3-pro-m3-max,lookup,fr
Q00018,Apple MacBook Pro 16-inch (M3 Pro/M3 Max) specs,LAP-2023-apple-macbook-pro-16-inch-m3-pro-m3-max,lookup,en
Q00019,best price Apple MacBook Pro 16-inch (M3 Pro/M3 Max),LAP-2023-apple-macbook-pro-16-inch-m3-pro-m3-max,lookup,en
Q00020,compare Apple MacBook Pro 16-inch (M3 Pro/M3 Max),LAP-2023-apple-macbook-pro-16-inch-m3-pro-m3-max,compare,en
Q00021,Apple MacBook Air 15-inch (M2),LAP-2023-apple-macbook-air-15-inch-m2,lookup,en
Q00022,Apple MacBook Air 15-inch (M2) 2023,LAP-2023-apple-macbook-air-15-inch-m2,lookup,en
Q00023,MacBook Air 15-inch (M2) Apple,LAP-2023-apple-macbook-air-15-inch-m2,lookup,en
Q00024,prix Apple MacBook Air 15-inch (M2),LAP-2023-apple-macbook-air-15-inch-m2,lookup,fr
Q00025,je cherche MacBook Air 15-inch (M2),LAP-2023-apple-macbook-air-15-inch-m2,lookup,fr
